OBJECTID,presence,DECID,MARSH,SSW,STUDY,ANTHRO,PROB_1,PREDICTED,DEV_RESID
136,1,0.05076142,0.243654817,0,38.35802841,0.416243643,0.828044062,1,0.614310851
137,1,0.005076142,0.030456852,0,114.5759201,0.441624373,0.731707341,1,0.790410845
138,1,0,0.258883238,0,74.99602509,0.725888312,0.667227142,1,0.899582958
139,1,0,0.467005074,0,49.65438461,0.248730958,0.93249434,1,0.373877512
140,1,0.34517765,0.106598988,0,49.17281342,0,0.883080332,1,0.498676461
141,1,0,0.269035518,0,64.81348419,0.269035518,0.892785505,1,0.476253971
142,1,0,0.842639565,0,71.08370972,0,0.984444473,1,0.177075035
143,1,0.121827409,0.32487309,0,33.98576736,0.09137056,0.931856712,1,0.37570259
144,1,0.756345153,0.223350257,0,41.39156342,0.243654817,0.697887095,1,0.848172087
145,1,0,0.137055844,0,86.99105072,0.385786802,0.81006238,1,0.649067057
146,1,0.898477137,0.248730958,0,62.82585526,0,0.79484546,1,0.677654149
147,1,0,0,0,152.8734589,0.360406101,0.756835454,1,0.746470917
148,1,0,0.477157354,0,125.515892,0.598984778,0.812847558,1,0.643757241
149,1,0.065989845,0.33502537,0,38.98496246,0.121827409,0.932950599,1,0.372566847
150,1,0,0.269035518,0,77.55279541,0.796954334,0.621913018,1,0.974633304
151,1,0,0,0,58.06373596,0.314720809,0.805088543,1,0.658487686
152,1,0,0.020304568,0,166.8551636,0.614213169,0.595545909,1,1.018112763
153,1,0,0.065989845,0,77.80198669,1,0.365571546,0,1.418656597
154,1,0,0.776649773,0,39.96470261,0.076142132,0.978614719,1,0.20792912
155,1,0,0,0,971.828186,1,0.113780977,0,2.084936419
156,1,0.441624373,0,0,112.2992325,0.101522841,0.772989536,1,0.717620746
157,1,0,0.071065992,0,109.9467621,0.578680217,0.665852472,1,0.90187266
158,1,0,0.248730958,0,65.44815063,0.573604047,0.759663809,1,0.74145708
159,1,0,0.258883238,0,74.99602509,0.725888312,0.667227142,1,0.899582958
160,1,0,0,0,111.3379059,0.370558381,0.762750675,1,0.735967485
161,1,0.02538071,0,0,265.8733521,0.878172576,0.342587223,0,1.463713761
162,1,0.071065992,0.060913704,0,120.7022324,0.365482241,0.764355952,1,0.733105303
163,1,0.071065992,0.243654817,0,36.87770081,0.34010151,0.854503179,1,0.560776348
164,1,0.010152284,0.492385775,0,68.59005737,0.370558381,0.905820745,1,0.444778249
165,1,0.269035518,0.218274117,0,43.38154984,0.04568528,0.905547386,1,0.445456332
